               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.031633,            0.077458,                   0,             0.90524,             0.92671,              0.9394,             0.79841,            0.018195,            0.034407,                   0,             0.00244,             0.00244,             0.00244
                  86,            0.029888,             0.07087,                   0,             0.92197,             0.92184,              0.9398,             0.80535,            0.018315,            0.033862,                   0,             0.00235,             0.00235,             0.00235
                  87,             0.02935,            0.077997,                   0,             0.91291,             0.92908,             0.93836,             0.80664,            0.018489,            0.034253,                   0,             0.00226,             0.00226,             0.00226
                  88,            0.028814,            0.063238,                   0,             0.91331,             0.92671,             0.93791,             0.80254,            0.017694,            0.033915,                   0,             0.00217,             0.00217,             0.00217
                  89,            0.031479,            0.084991,                   0,             0.91576,             0.91726,             0.93797,             0.81197,            0.017293,            0.033539,                   0,             0.00208,             0.00208,             0.00208
                  90,            0.027799,             0.07843,                   0,             0.91723,             0.91962,             0.93676,             0.81082,            0.017173,            0.033814,                   0,             0.00199,             0.00199,             0.00199
                  91,            0.031963,            0.081744,                   0,             0.91511,             0.91747,             0.93797,             0.81326,            0.017129,            0.032987,                   0,              0.0019,              0.0019,              0.0019
                  92,            0.026429,            0.062807,                   0,             0.89846,             0.92908,             0.93647,              0.8121,            0.017338,            0.033516,                   0,             0.00181,             0.00181,             0.00181
                  93,            0.033141,            0.077237,                   0,             0.90217,             0.92435,             0.93609,             0.80621,            0.017799,            0.033891,                   0,             0.00172,             0.00172,             0.00172
                  94,            0.028901,            0.077882,                   0,             0.91513,             0.91762,             0.93785,             0.81316,            0.017366,            0.033393,                   0,             0.00163,             0.00163,             0.00163
                  95,             0.02801,            0.072777,                   0,             0.90928,             0.92199,             0.93753,             0.81279,            0.017389,             0.03359,                   0,             0.00154,             0.00154,             0.00154
                  96,            0.026603,            0.078285,                   0,             0.91024,             0.91489,              0.9352,              0.8095,            0.017558,            0.033954,                   0,             0.00145,             0.00145,             0.00145
                  97,            0.026702,            0.066015,                   0,             0.91298,             0.91253,             0.93419,             0.80548,            0.017474,            0.033682,                   0,             0.00136,             0.00136,             0.00136
                  98,            0.031669,            0.070836,                   0,              0.9097,             0.91726,             0.93176,             0.80904,            0.017438,            0.033919,                   0,             0.00127,             0.00127,             0.00127
                  99,            0.027141,            0.064639,                   0,             0.91787,             0.91489,              0.9312,             0.80928,            0.017316,            0.034068,                   0,             0.00118,             0.00118,             0.00118
